time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644088500,41685.33,41659.95,41681.03,8.367,348722.27,41683.7,direct,
1644088440,41687.65,41673.81,41673.81,2.508,104550.56,41681.03,direct,
1644088380,41687.44,41638.59,41638.59,8.006,333553.86,41673.81,direct,
1644088320,41655.87,41635.58,41655.86,5.017,208933.59,41638.59,direct,
1644088260,41676.08,41653.46,41668.48,6.764,281764.99,41655.86,direct,
1644088200,41683.95,41660.63,41664.17,6.201,258420.07,41668.48,direct,
1644088140,41686.71,41662.44,41684.18,4.799,200005.11,41664.17,direct,
1644088080,41709.5,41680.96,41693.47,9.324,388724.73,41684.18,direct,
1644088020,41710.16,41684.6,41685.69,6.359,265174.33,41693.47,direct,
1644087960,41702.81,41680.9,41701.26,5.026,209552.81,41685.69,direct,
1644087900,41708.84,41686.66,41694.42,8.617,359281.16,41701.26,direct,
1644087840,41694.42,41656.77,41658.18,9.233,384886.21,41694.42,direct,
1644087780,41674.66,41656.26,41672.22,4.734,197237.43,41658.18,direct,
1644087720,41688.91,41670.12,41684.75,4.685,195243.8,41672.22,direct,
1644087660,41699.82,41681.18,41688.27,4.22,175952.01,41684.75,direct,
1644087600,41705.12,41663.1,41702.87,10.3,429589.91,41688.27,direct,
1644087540,41706.19,41688.61,41688.61,3.543,147734.55,41702.87,direct,
1644087480,41698.74,41673.45,41675.55,6.081,253534.63,41688.61,direct,
1644087420,41706.97,41671.88,41683.36,10.0,417005.33,41675.55,direct,
1644087360,41685.46,41655.83,41657.21,4.67,194631.53,41683.36,direct,
1644087300,41673.88,41653.04,41670.94,4.41,183718.13,41657.21,direct,
1644087240,41674.13,41642.64,41643.55,3.166,131860.71,41670.94,direct,
1644087180,41656.13,41642.03,41654.44,4.22,175764.08,41643.55,direct,
1644087120,41655.1,41638.1,41648.33,3.479,144912.14,41654.44,direct,
1644087060,41649.74,41626.84,41632.4,3.421,142436.64,41648.33,direct,
