time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644079860,3012.79,3010.77,3010.84,257.18,774707.26,3012.4,direct,
1644079800,3011.77,3009.41,3010.11,498.99,1502260.33,3010.84,direct,
1644079740,3016.04,3010.11,3015.92,423.11,1274687.7,3010.11,direct,
1644079680,3020.58,3015.66,3020.34,285.42,861368.18,3015.92,direct,
1644079620,3020.94,3019.3,3019.78,118.22,357042.67,3020.34,direct,
1644079560,3023.78,3019.65,3023.34,235.6,711799.77,3019.78,direct,
1644079500,3029.19,3016.05,3028.33,2631.44,7939148.56,3023.34,direct,
1644079440,3031.15,3027.63,3030.37,167.81,508377.23,3028.33,direct,
1644079380,3032.21,3029.35,3030.46,144.56,438110.71,3030.37,direct,
1644079320,3032.5,3030.38,3032.49,184.77,560035.56,3030.46,direct,
1644079260,3034.19,3032.49,3032.73,147.96,448876.34,3032.49,direct,
1644079200,3035.9,3030.6,3035.9,412.82,1252047.0,3032.73,direct,
1644079140,3036.96,3034.16,3035.37,138.34,419942.69,3035.9,direct,
1644079080,3035.67,3032.99,3033.31,133.26,404366.49,3035.37,direct,
1644079020,3040.16,3031.5,3040.16,954.68,2898763.86,3033.31,direct,
1644078960,3042.57,3039.84,3042.41,88.79,270059.46,3040.16,direct,
1644078900,3044.08,3042.15,3043.42,143.86,437695.22,3042.41,direct,
1644078840,3044.53,3041.94,3044.06,159.33,484865.83,3043.42,direct,
1644078780,3045.2,3040.25,3040.25,145.87,443994.21,3044.06,direct,
1644078720,3040.89,3038.59,3038.84,126.76,385359.99,3040.25,direct,
1644078660,3038.84,3036.43,3037.09,92.7,281549.24,3038.84,direct,
1644078600,3038.11,3036.7,3037.55,95.68,290626.94,3037.09,direct,
1644078540,3038.19,3036.89,3037.43,92.28,280296.96,3037.55,direct,
1644078480,3042.77,3037.12,3040.85,183.85,558960.58,3037.43,direct,
1644078420,3041.09,3037.93,3039.44,149.6,454736.05,3040.85,direct,
