time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644079860,0.1473,0.1472,0.1473,240256.8,35387.34,0.1473,direct,
1644079800,0.1473,0.1472,0.1472,103829.92,15286.59,0.1473,direct,
1644079740,0.1476,0.1471,0.1476,644061.08,94886.87,0.1472,direct,
1644079680,0.1478,0.1476,0.1477,320314.78,47292.78,0.1476,direct,
1644079620,0.1478,0.1477,0.1477,51755.03,7642.69,0.1477,direct,
1644079560,0.1479,0.1477,0.1479,125013.31,18466.88,0.1477,direct,
1644079500,0.1481,0.1477,0.1481,1283021.79,189641.98,0.1479,direct,
1644079440,0.1482,0.148,0.1481,239070.0,35407.55,0.1481,direct,
1644079380,0.1482,0.1481,0.1482,177181.86,26239.71,0.1481,direct,
1644079320,0.1484,0.1482,0.1483,153443.68,22748.11,0.1482,direct,
1644079260,0.1484,0.1482,0.1483,25470.47,3778.46,0.1483,direct,
1644079200,0.1484,0.1482,0.1483,49594.02,7352.98,0.1483,direct,
1644079140,0.1484,0.1482,0.1483,44954.79,6664.4,0.1483,direct,
1644079080,0.1483,0.1482,0.1482,83079.07,12313.51,0.1483,direct,
1644079020,0.1485,0.1482,0.1485,595616.39,88389.46,0.1482,direct,
1644078960,0.1486,0.1485,0.1485,157389.02,23375.06,0.1485,direct,
1644078900,0.1486,0.1485,0.1485,127935.52,19005.39,0.1485,direct,
1644078840,0.1486,0.1484,0.1486,190903.52,28344.68,0.1485,direct,
1644078780,0.1486,0.1484,0.1484,200358.91,29769.03,0.1486,direct,
1644078720,0.1484,0.1483,0.1484,17910.13,2657.89,0.1484,direct,
1644078660,0.1484,0.1483,0.1484,158699.65,23548.5,0.1484,direct,
1644078600,0.1484,0.1483,0.1483,34387.9,5100.41,0.1484,direct,
1644078540,0.1484,0.1483,0.1484,105107.63,15588.15,0.1483,direct,
1644078480,0.1486,0.1483,0.1485,166077.41,24658.17,0.1484,direct,
1644078420,0.1485,0.1483,0.1484,63902.86,9481.65,0.1485,direct,
