time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644082740,1.124,1.121,1.124,89761.34,100762.38,1.121,direct,
1644082680,1.124,1.123,1.123,50184.72,56379.34,1.124,direct,
1644082620,1.123,1.122,1.122,21158.05,23758.9,1.123,direct,
1644082560,1.123,1.121,1.122,34195.82,38361.62,1.122,direct,
1644082500,1.123,1.12,1.121,88691.16,99433.51,1.122,direct,
1644082440,1.122,1.12,1.122,117549.59,131748.58,1.121,direct,
1644082380,1.123,1.12,1.121,139339.88,156391.29,1.122,direct,
1644082320,1.121,1.119,1.119,134881.78,151072.53,1.121,direct,
1644082260,1.12,1.116,1.116,278685.93,311691.09,1.119,direct,
1644082200,1.117,1.116,1.116,176721.43,197290.11,1.116,direct,
1644082140,1.117,1.115,1.115,172968.45,193146.14,1.116,direct,
1644082080,1.117,1.113,1.113,107066.88,119417.71,1.115,direct,
1644082020,1.115,1.111,1.115,296046.96,329456.82,1.113,direct,
1644081960,1.116,1.114,1.114,193601.12,215926.55,1.115,direct,
1644081900,1.116,1.113,1.116,138679.86,154587.98,1.114,direct,
1644081840,1.117,1.112,1.112,675743.9,753761.89,1.116,direct,
1644081780,1.114,1.11,1.11,308577.54,343381.62,1.112,direct,
1644081720,1.11,1.107,1.108,282161.65,312410.04,1.11,direct,
1644081660,1.11,1.108,1.109,172076.16,190826.6,1.108,direct,
1644081600,1.11,1.106,1.107,357213.85,396051.11,1.109,direct,
1644081540,1.107,1.106,1.107,315766.88,349528.23,1.107,direct,
1644081480,1.108,1.105,1.106,208589.0,230810.96,1.107,direct,
1644081420,1.106,1.102,1.103,313440.82,346117.69,1.106,direct,
1644081360,1.103,1.097,1.1,448008.03,492580.21,1.103,direct,
1644081300,1.103,1.1,1.103,912181.59,1003322.63,1.1,direct,
