time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644097140,414.15,413.64,413.63,313.67,129904.94,414.15,multiply,BTC
1644097080,413.67,413.55,413.72,49.65,20536.71,413.63,multiply,BTC
1644097020,413.81,413.68,413.77,81.87,33871.63,413.72,multiply,BTC
1644096960,413.93,413.59,413.59,54.23,22442.39,413.93,direct,
1644096900,413.6,413.52,413.53,38.52,15930.2,413.56,multiply,BTC
1644096840,413.59,413.36,413.36,53.27,22031.28,413.57,direct,
1644096780,413.45,412.76,412.76,157.17,64953.04,413.36,direct,
1644096720,413.19,412.65,413.15,157.94,65220.96,412.76,direct,
1644096660,413.47,413.22,413.6,224.44,92742.28,413.22,multiply,BTC
1644096600,414.4,413.24,414.4,181.1,74894.76,413.57,direct,
1644096540,414.44,414.23,414.09,91.15,37776.09,414.44,multiply,BTC
1644096480,414.3,414.09,414.08,190.08,78710.19,414.09,multiply,BTC
1644096420,414.16,414.08,414.16,64.43,26679.08,414.08,multiply,BTC
1644096360,414.2,414.12,414.12,80.96,33530.39,414.16,multiply,BTC
1644096300,414.38,414.03,414.22,160.27,66376.23,414.12,direct,
1644096240,414.22,414.15,414.15,23.0,9526.99,414.22,direct,
1644096180,414.16,414.02,414.15,142.7,59097.01,414.15,direct,
1644096120,414.3,414.07,414.07,67.14,27807.45,414.15,direct,
1644096060,414.18,413.94,413.94,54.63,22615.25,414.07,direct,
1644096000,414.32,413.94,414.04,57.94,23991.87,413.94,direct,
1644095940,414.15,414.02,414.15,59.6,24680.31,414.04,direct,
1644095880,414.15,413.93,414.01,69.84,28909.64,414.15,direct,
1644095820,414.4,413.93,414.4,47.68,19742.23,414.01,direct,
1644095760,414.58,414.28,414.28,115.45,47851.19,414.4,direct,
1644095700,414.44,414.28,414.41,128.76,53363.11,414.28,direct,
