time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644076980,1.151,1.149,1.151,44941.56,51683.79,1.149,direct,
1644076920,1.153,1.15,1.15,168428.7,194028.2,1.151,direct,
1644076860,1.151,1.149,1.151,92366.89,106218.76,1.15,direct,
1644076800,1.153,1.15,1.152,63339.85,72921.73,1.151,direct,
1644076740,1.152,1.151,1.151,11436.86,13168.72,1.152,direct,
1644076680,1.152,1.151,1.151,18113.54,20856.71,1.151,direct,
1644076620,1.151,1.15,1.15,53665.34,61740.02,1.151,direct,
1644076560,1.15,1.15,1.15,12415.32,14283.79,1.15,direct,
1644076500,1.15,1.149,1.149,115595.57,132877.19,1.15,direct,
1644076440,1.15,1.149,1.149,59409.16,68261.33,1.149,direct,
1644076380,1.149,1.149,1.149,6715.52,7716.49,1.149,direct,
1644076320,1.15,1.149,1.149,25265.05,29030.51,1.149,direct,
1644076260,1.15,1.148,1.149,46989.05,53985.31,1.149,direct,
1644076200,1.15,1.148,1.15,38530.87,44270.78,1.149,direct,
1644076140,1.151,1.15,1.151,119346.4,137239.81,1.15,direct,
1644076080,1.152,1.151,1.152,49819.74,57372.09,1.151,direct,
1644076020,1.153,1.152,1.152,22574.8,26008.22,1.152,direct,
1644075960,1.153,1.151,1.152,85526.88,98553.35,1.152,direct,
1644075900,1.152,1.15,1.152,56033.23,64521.0,1.152,direct,
1644075840,1.153,1.152,1.152,25427.48,29298.63,1.152,direct,
1644075780,1.153,1.152,1.152,54287.03,62558.91,1.152,direct,
1644075720,1.153,1.152,1.152,72249.18,83245.94,1.152,direct,
1644075660,1.155,1.151,1.155,119950.0,138253.93,1.152,direct,
1644075600,1.155,1.153,1.154,74620.83,86112.5,1.155,direct,
1644075540,1.154,1.153,1.153,116211.35,134070.7,1.154,direct,
