time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644085620,41672.37,41654.94,41665.42,5.687,236937.79,41654.94,direct,
1644085560,41665.46,41642.53,41662.62,6.72,279893.01,41665.42,direct,
1644085500,41694.21,41653.44,41694.21,11.63,484615.42,41662.62,direct,
1644085440,41712.63,41672.02,41712.63,8.568,357226.48,41694.21,direct,
1644085380,41754.1,41693.14,41696.93,59.58,2486574.48,41712.63,direct,
1644085320,41697.34,41643.81,41646.31,16.86,702966.93,41696.93,direct,
1644085260,41647.56,41643.57,41643.7,2.639,109894.6,41646.31,direct,
1644085200,41645.18,41632.42,41635.52,4.06,169071.57,41643.7,direct,
1644085140,41642.98,41609.06,41622.02,9.081,378023.96,41635.52,direct,
1644085080,41635.78,41611.01,41631.23,3.604,149991.97,41622.02,direct,
1644085020,41632.25,41601.92,41608.54,4.427,184255.27,41631.23,direct,
1644084960,41650.64,41607.77,41646.65,8.707,362480.72,41608.54,direct,
1644084900,41657.22,41644.86,41648.01,3.462,144176.38,41646.65,direct,
1644084840,41659.48,41640.21,41646.58,9.705,404199.28,41648.01,direct,
1644084780,41667.98,41639.87,41659.4,37.02,1540646.18,41646.58,direct,
1644084720,41665.34,41648.12,41651.04,9.698,403985.77,41659.4,direct,
1644084660,41670.41,41645.19,41655.07,6.731,280422.62,41651.04,direct,
1644084600,41672.62,41624.96,41672.61,36.95,1538894.56,41655.07,direct,
1644084540,41692.37,41671.88,41682.33,13.56,565090.15,41672.61,direct,
1644084480,41688.38,41606.49,41606.49,26.03,1084688.23,41682.33,direct,
1644084420,41621.65,41605.82,41617.67,6.713,279360.2,41606.49,direct,
1644084360,41629.46,41602.43,41623.77,5.55,230971.43,41617.67,direct,
1644084300,41644.01,41615.62,41643.87,4.224,175832.96,41623.77,direct,
1644084240,41645.73,41615.94,41617.23,14.93,621572.92,41643.87,direct,
1644084180,41617.23,41599.38,41600.71,3.721,154819.84,41617.23,direct,
