time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644082740,415.46,415.01,415.33,177.84,73865.52,415.01,direct,
1644082680,415.65,415.06,415.65,124.57,51715.32,415.33,direct,
1644082620,415.16,415.16,415.1,211.32,87731.73,415.16,multiply,BTC
1644082560,415.1,415.1,415.13,333.62,138485.41,415.1,multiply,BTC
1644082500,415.32,415.04,415.17,70.19,29133.31,415.28,direct,
1644082440,415.34,414.63,415.34,137.22,56939.57,415.17,direct,
1644082380,415.36,414.62,414.68,106.49,44200.73,415.34,direct,
1644082320,414.68,410.63,410.68,249.54,103488.66,414.68,direct,
1644082260,410.68,410.18,410.18,158.42,65573.73,410.68,direct,
1644082200,410.42,410.18,410.42,90.52,37426.17,410.18,direct,
1644082140,410.42,410.08,410.08,212.2,87760.14,410.42,direct,
1644082080,412.74,412.53,412.17,198.24,81812.58,412.69,multiply,BTC
1644082020,410.1,409.52,409.81,183.45,75669.68,410.07,direct,
1644081960,412.51,411.93,412.02,394.32,162661.34,412.51,multiply,BTC
1644081900,412.1,411.69,412.21,407.69,167975.4,412.02,multiply,BTC
1644081840,409.62,409.37,409.46,100.84,41556.76,409.62,direct,
1644081780,411.72,411.23,410.84,149.39,61476.25,411.52,multiply,BTC
1644081720,410.97,410.84,410.29,157.03,64514.72,410.84,multiply,BTC
1644081660,410.42,410.17,410.33,122.73,50355.13,410.29,multiply,BTC
1644081600,410.45,410.04,409.6,272.59,111850.63,410.33,multiply,BTC
1644081540,409.85,409.44,409.89,374.7,153478.68,409.6,multiply,BTC
1644081480,410.13,409.85,409.51,386.38,158372.28,409.89,multiply,BTC
1644081420,409.76,409.1,408.79,389.08,159333.07,409.51,multiply,BTC
1644081360,408.84,408.26,408.0,232.21,94926.12,408.79,multiply,BTC
1644081300,408.25,407.96,408.78,156.22,63737.7,408.0,multiply,BTC
