time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644100020,122.2,122.09,122.11,502.4,61381.15,122.18,direct,
1644099960,122.24,122.11,122.24,77.73,9496.63,122.11,direct,
1644099900,122.33,122.24,122.32,126.54,15470.14,122.24,direct,
1644099840,122.36,122.32,122.36,63.66,7790.3,122.32,direct,
1644099780,122.44,122.4,122.45,38.06,4658.54,122.4,multiply,BTC
1644099720,122.38,122.31,122.33,71.22,8712.93,122.31,direct,
1644099660,122.38,122.3,122.38,129.52,15843.56,122.33,direct,
1644099600,122.4,122.33,122.39,184.0,22512.78,122.38,direct,
1644099540,122.41,122.37,122.39,144.33,17667.47,122.41,multiply,BTC
1644099480,122.52,122.33,122.52,65.08,7966.79,122.33,direct,
1644099420,122.53,122.49,122.49,52.66,6450.24,122.52,direct,
1644099360,122.53,122.48,122.49,35.35,4331.3,122.53,multiply,BTC
1644099300,122.51,122.43,122.46,78.89,9664.32,122.51,direct,
1644099240,122.52,122.48,122.47,75.65,9265.4,122.48,multiply,BTC
1644099180,122.46,122.39,122.41,53.59,6560.39,122.44,direct,
1644099120,122.43,122.38,122.39,90.86,11122.79,122.41,direct,
1644099060,122.42,122.33,122.33,39.81,4873.16,122.39,direct,
1644099000,122.37,122.29,122.31,68.2,8343.04,122.33,direct,
1644098940,122.52,122.25,122.52,593.82,72628.05,122.31,direct,
1644098880,122.64,122.52,122.57,196.36,24070.08,122.52,direct,
1644098820,122.59,122.52,122.59,127.73,15658.96,122.57,direct,
1644098760,122.6,122.52,122.55,71.14,8717.74,122.59,direct,
1644098700,122.6,122.49,122.55,239.23,29306.11,122.55,direct,
1644098640,122.6,122.55,122.58,40.91,5014.54,122.55,direct,
1644098580,122.64,122.53,122.56,250.71,30729.51,122.58,direct,
