time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644102900,122.43,122.35,122.38,83.28,10193.67,122.42,direct,
1644102840,122.38,122.35,122.37,27.34,3345.49,122.38,direct,
1644102780,122.42,122.38,122.38,103.83,12706.97,122.38,multiply,BTC
1644102720,122.43,122.34,122.41,64.84,7936.24,122.36,direct,
1644102660,122.47,122.39,122.46,1141.94,139731.43,122.41,direct,
1644102600,122.5,122.43,122.44,88.39,10822.41,122.46,direct,
1644102540,122.51,122.44,122.48,93.41,11438.43,122.44,direct,
1644102480,122.48,122.39,122.43,74.8,9157.31,122.48,direct,
1644102420,122.46,122.37,122.39,213.72,26163.14,122.43,direct,
1644102360,122.46,122.29,122.43,230.22,28163.95,122.39,direct,
1644102300,122.48,122.36,122.52,2062.34,252604.97,122.48,multiply,BTC
1644102240,122.49,122.45,122.45,74.02,9064.26,122.49,direct,
1644102180,122.59,122.51,122.64,435.06,53298.06,122.51,multiply,BTC
1644102120,122.58,122.54,122.58,60.39,7402.44,122.54,direct,
1644102060,122.64,122.52,122.43,130.48,16002.37,122.64,multiply,BTC
1644102000,122.39,122.33,122.37,325.14,39792.93,122.39,direct,
1644101940,122.37,122.3,122.32,30.14,3686.32,122.37,direct,
1644101880,122.41,122.29,122.41,1423.22,174157.4,122.37,multiply,BTC
1644101820,122.4,122.36,122.4,55.61,6805.79,122.4,direct,
1644101760,122.4,122.37,122.38,16.06,1965.95,122.4,direct,
1644101700,122.38,122.29,122.29,171.23,20948.28,122.38,direct,
1644101640,122.29,122.23,122.23,78.06,9547.26,122.29,direct,
1644101580,122.35,122.22,122.33,112.57,13762.65,122.23,direct,
1644101520,122.42,122.3,122.4,169.22,20697.24,122.33,direct,
1644101460,122.45,122.39,122.42,59.55,7288.12,122.4,direct,
