time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644091380,0.6616,0.6611,0.6616,27837.56,18404.38,0.6614,direct,
1644091320,0.663,0.6616,0.663,40138.16,26563.91,0.6616,direct,
1644091260,0.6641,0.663,0.6639,40056.13,26593.24,0.663,direct,
1644091200,0.6639,0.6631,0.6631,5595.85,3711.74,0.6639,direct,
1644091140,0.6633,0.6631,0.6633,2181.21,1447.19,0.6631,direct,
1644091080,0.6633,0.6627,0.663,13061.32,8665.43,0.6633,direct,
1644091020,0.6637,0.663,0.6637,38309.08,25414.28,0.663,direct,
1644090960,0.6639,0.6637,0.6638,5441.36,3612.25,0.6637,direct,
1644090900,0.6639,0.6638,0.6639,1802.73,1198.8,0.6638,direct,
1644090840,0.6639,0.6637,0.6637,17540.54,11648.05,0.6639,direct,
1644090780,0.6661,0.6658,0.6659,4.507,3.002,0.6661,invert_divide,BTC
1644090720,0.6636,0.6636,0.6636,675.84,449.15,0.6636,direct,
1644090660,0.6638,0.6635,0.6638,12282.74,8150.82,0.6636,direct,
1644090600,0.6638,0.6637,0.6637,14178.93,9406.09,0.6638,direct,
1644090540,0.6642,0.6637,0.6642,21439.47,14227.53,0.6637,direct,
1644090480,0.6663,0.6659,0.6664,5.753,3.831,0.6659,invert_divide,BTC
1644090420,0.6643,0.6641,0.6641,5185.2,3445.38,0.6643,direct,
1644090360,0.6641,0.6641,0.6641,1040.73,691.12,0.6641,direct,
1644090300,0.6641,0.6641,0.6641,758.44,505.04,0.6641,direct,
1644090240,0.6666,0.6663,0.6661,5.652,3.767,0.6664,invert_divide,BTC
1644090180,0.6641,0.664,0.6641,2137.24,1419.8,0.664,direct,
1644090120,0.6641,0.664,0.6641,12550.18,8329.12,0.6641,direct,
1644090060,0.6643,0.664,0.6642,3279.22,2177.38,0.6641,direct,
1644090000,0.6642,0.6642,0.6642,387.79,257.43,0.6642,direct,
1644089940,0.6646,0.6642,0.6646,8834.04,5867.51,0.6642,direct,
