time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644102900,0.2142,0.2141,0.2141,110253.48,23615.32,0.2142,direct,
1644102840,0.2141,0.214,0.214,11604.0,2484.48,0.2141,direct,
1644102780,0.214,0.2139,0.214,43469.08,9302.32,0.214,direct,
1644102720,0.214,0.2139,0.214,25722.1,5503.72,0.214,direct,
1644102660,0.214,0.2137,0.2138,79369.0,16973.75,0.214,direct,
1644102600,0.214,0.2138,0.214,60473.4,12938.66,0.2138,direct,
1644102540,0.214,0.2138,0.2138,18183.71,3889.78,0.214,direct,
1644102480,0.2138,0.2137,0.2137,23747.99,5076.27,0.2138,direct,
1644102420,0.2138,0.2136,0.2137,34230.12,7314.93,0.2137,direct,
1644102360,0.214,0.2137,0.214,73483.1,15706.81,0.2137,direct,
1644102300,0.214,0.2139,0.214,16035.38,3431.59,0.214,direct,
1644102240,0.214,0.2139,0.2139,16391.14,3507.8,0.214,direct,
1644102180,0.2142,0.2138,0.214,144111.25,30839.23,0.2139,direct,
1644102120,0.2141,0.2139,0.214,25119.02,5375.92,0.214,direct,
1644102060,0.214,0.2136,0.2136,42895.34,9175.06,0.214,direct,
1644102000,0.2136,0.2135,0.2136,39395.91,8411.17,0.2136,direct,
1644101940,0.2136,0.2135,0.2135,17727.3,3786.28,0.2136,direct,
1644101880,0.2136,0.2134,0.2135,77367.0,16527.76,0.2135,direct,
1644101820,0.2136,0.2135,0.2136,18311.2,3909.9,0.2135,direct,
1644101760,0.2136,0.2132,0.2132,53528.97,11428.12,0.2136,direct,
1644101700,0.2132,0.2126,0.2127,208702.67,44446.72,0.2132,direct,
1644101640,0.2127,0.2126,0.2126,9403.0,1999.62,0.2127,direct,
1644101580,0.2127,0.2126,0.2127,16990.0,3612.92,0.2126,direct,
1644101520,0.2128,0.2126,0.2127,9979.0,2121.89,0.2127,direct,
1644101460,0.2128,0.2126,0.2127,147126.65,31308.58,0.2127,direct,
