time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644094260,0.6649,0.6647,0.6647,4680.06,3113.17,0.6647,direct,
1644094200,0.6647,0.6644,0.6644,6999.54,4651.78,0.6647,direct,
1644094140,0.6645,0.6643,0.6643,3277.86,2179.46,0.6644,direct,
1644094080,0.6644,0.6639,0.6639,12287.82,8159.97,0.6643,direct,
1644094020,0.6639,0.6637,0.6637,4466.32,2965.36,0.6639,direct,
1644093960,0.6638,0.6636,0.6637,53106.76,35295.68,0.6637,direct,
1644093900,0.6637,0.663,0.663,13883.59,9212.39,0.6637,direct,
1644093840,0.663,0.6626,0.6626,1108.19,734.16,0.663,direct,
1644093780,0.6626,0.6625,0.6625,2508.99,1663.54,0.6626,direct,
1644093720,0.6626,0.6625,0.6625,4953.09,3281.61,0.6625,direct,
1644093660,0.6625,0.662,0.662,41225.91,27301.61,0.6625,direct,
1644093600,0.662,0.662,0.662,946.0,626.1,0.662,direct,
1644093540,0.6622,0.662,0.662,17258.37,11425.71,0.662,direct,
1644093480,0.662,0.662,0.662,1468.71,972.1,0.662,direct,
1644093420,0.662,0.6618,0.6618,2065.67,1367.54,0.662,direct,
1644093360,0.6618,0.6615,0.6615,2706.76,1791.01,0.6618,direct,
1644093300,0.6615,0.6613,0.6614,1934.18,1279.2,0.6615,direct,
1644093240,0.6614,0.6613,0.6613,2392.37,1583.34,0.6614,direct,
1644093180,0.6613,0.6613,0.6613,4285.42,2834.69,0.6613,direct,
1644093120,0.6614,0.6609,0.6609,19037.6,12590.96,0.6613,direct,
1644093060,0.661,0.6608,0.661,10151.75,6707.92,0.6609,direct,
1644093000,0.6611,0.6609,0.6611,12428.77,8209.07,0.661,direct,
1644092940,0.6618,0.6611,0.6618,67795.67,44848.43,0.6611,direct,
1644092880,0.6621,0.6618,0.6621,8564.76,5667.75,0.6618,direct,
1644092820,0.6622,0.6619,0.662,26534.61,17567.46,0.6621,direct,
