time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644097140,122.58,122.5,122.5,64.63,7923.6,122.58,direct,
1644097080,122.52,122.48,122.5,71.58,8766.77,122.48,multiply,BTC
1644097020,122.54,122.5,122.49,176.43,21613.24,122.5,multiply,BTC
1644096960,122.56,122.38,122.38,317.29,38872.07,122.51,direct,
1644096900,122.42,122.38,122.42,163.7,20037.23,122.38,direct,
1644096840,122.42,122.3,122.3,132.78,16246.76,122.42,direct,
1644096780,122.3,122.15,122.15,173.13,21164.11,122.3,direct,
1644096720,122.31,122.11,122.3,230.25,28132.29,122.15,direct,
1644096660,122.43,122.21,122.22,729.69,89289.2,122.3,direct,
1644096600,122.37,122.09,122.37,193.12,23592.09,122.22,direct,
1644096540,122.41,122.3,122.33,176.86,21645.52,122.37,direct,
1644096480,122.33,122.22,122.23,197.7,24172.3,122.33,direct,
1644096420,122.25,122.22,122.24,30.54,3733.5,122.23,direct,
1644096360,122.26,122.21,122.23,81.55,9967.99,122.24,direct,
1644096300,122.23,122.13,122.16,89.01,10874.67,122.23,direct,
1644096240,122.19,122.12,122.13,90.08,11002.34,122.16,direct,
1644096180,122.22,122.13,122.2,71.07,8672.73,122.13,direct,
1644096120,122.23,122.15,122.17,72.83,8901.92,122.23,multiply,BTC
1644096060,122.16,122.09,122.12,51.86,6333.39,122.13,direct,
1644096000,122.26,122.12,122.24,40.6,4959.41,122.12,direct,
1644095940,122.24,122.12,122.13,243.39,29741.28,122.24,direct,
1644095880,122.15,122.07,122.1,85.17,10400.41,122.13,direct,
1644095820,122.3,122.08,122.3,306.9,37490.22,122.1,direct,
1644095760,122.36,122.27,122.38,1996.16,244073.87,122.27,multiply,BTC
1644095700,122.47,122.25,122.47,242.74,29699.58,122.38,direct,
