,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
16,3635,Crypto.com Coin,CRO,127,2018-12-14 00:00:00,25263013692.0,30263013692.0,17,2022-01-28T01:53:00.000Z,0.3971838614789179,144346804.18650347,-30.1093,-0.703465,1.37091219,-5.89730345,-30.60354892,-47.17018567,78.73898049,10034061330.783333,0.6047,12019980638.18,2022-01-28 01:53:00
17,3717,Wrapped Bitcoin,WBTC,330,2019-01-30 00:00:00,271257.08547772,271257.08547772,18,2022-01-28T01:53:00.000Z,36835.986273319715,246088380.77418733,-18.7799,-0.73025182,1.48874307,-8.12668742,-23.45953297,-34.83852767,-40.71668845,9992022277.198008,0.6021,9992022277.2,2022-01-28 01:53:00
18,4943,Dai,DAI,747,2019-11-22 00:00:00,9631070317.166294,9631070317.166294,19,2022-01-28T01:53:00.000Z,0.99953766895934,566797175.1409081,-2.7532,-0.00998499,0.05216035,0.07358463,0.32056439,-0.10968379,-0.02580304,9626617574.403889,0.5803,9626617574.4,2022-01-28 01:53:00
19,3794,Cosmos,ATOM,230,2019-03-14 00:00:00,286370297.0,0.0,20,2022-01-28T01:53:00.000Z,29.30630094422512,1379459905.2687757,-41.6351,-0.49747532,-8.29936637,-24.54863979,8.7561466,6.74069545,-24.10717782,8392454105.369128,0.5058,0.0,2022-01-28 01:53:00
20,2,Litecoin,LTC,728,2013-04-28 00:00:00,69510156.9948378,84000000.0,21,2022-01-28T01:53:00.000Z,106.45039577844071,806407348.4026593,-23.9627,-0.57373173,0.68310753,-15.35953765,-27.5343691,-46.92681401,-45.05397063,7399383722.7220335,0.4459,8941833245.39,2022-01-28 01:53:00
21,1975,Chainlink,LINK,580,2017-09-20 00:00:00,467009549.5205637,1000000000.0,22,2022-01-28T01:53:00.000Z,14.967383494841224,923656729.963187,-24.386,-0.87414488,0.56978398,-23.93936641,-27.72574188,-39.81278732,-51.22034338,6989911023.4273205,0.4213,14967383494.84,2022-01-28 01:53:00
22,6535,NEAR Protocol,NEAR,98,2020-08-11 00:00:00,622103218.0,1000000000.0,23,2022-01-28T01:53:00.000Z,10.372111230513303,644511027.8892516,-37.5349,-0.50058113,-4.15417979,-29.40404584,-23.10865348,24.30947149,-7.50265016,6452523773.956265,0.3889,10372111230.51,2022-01-28 01:53:00
23,7083,Uniswap,UNI,333,2020-09-17 00:00:00,627476984.064984,1000000000.0,24,2022-01-28T01:53:00.000Z,10.167532609403754,264630899.9475074,12.0312,-0.90726855,-1.26215168,-28.0605672,-47.55674216,-49.52453206,-59.65543333,6379892697.131044,0.3845,10167532609.4,2022-01-28 01:53:00
24,4030,Algorand,ALGO,175,2019-06-20 00:00:00,6546914390.493583,6986743053.493266,25,2022-01-28T01:53:00.000Z,0.9285488457668922,306216392.4458661,-17.0677,0.00677705,3.05541262,-17.80709818,-37.21478134,-46.08373744,-49.79580024,6079129800.627473,0.3663,9285488457.67,2022-01-28 01:53:00
25,1958,TRON,TRX,560,2017-09-13 00:00:00,101804487620.82962,101804485502.4573,26,2022-01-28T01:53:00.000Z,0.05616923632543799,731115627.6055857,-24.5279,-0.39817483,1.22834029,-16.66069892,-27.44873552,-41.16504236,-43.10179356,5718280324.164506,0.3446,5718280205.18,2022-01-28 01:53:00
26,1831,Bitcoin Cash,BCH,566,2017-07-23 00:00:00,18967112.5,18967112.5,27,2022-01-28T01:53:00.000Z,287.6242533703212,4450377068.013502,-5.9436,-0.57925748,1.1301802,-17.7160626,-34.9880276,-49.44724101,-51.32059637,5455401571.403386,0.3288,6040109320.78,2022-01-28 01:53:00
27,4195,FTX Token,FTT,110,2019-07-31 00:00:00,138240528.91874373,334109864.9859715,28,2022-01-28T01:53:00.000Z,37.996313189525,243464123.65993083,7.7463,-0.78394045,5.94376797,-13.59861612,-5.48861751,-25.65435377,-38.26326534,5252630432.282174,0.3165,13381162185.9,2022-01-28 01:53:00
28,3513,Fantom,FTM,229,2018-10-29 00:00:00,2545006273.0,2545006273.0,29,2022-01-28T01:53:00.000Z,2.049321712636311,1164564824.4412882,-46.1037,-1.10839713,-5.3121301,-22.80218977,-11.28099489,-2.53385432,-30.52684969,5215536614.054514,0.3143,6506596437.62,2022-01-28 01:53:00
29,512,Stellar,XLM,398,2014-08-05 00:00:00,24821852396.613846,50001802273.434555,30,2022-01-28T01:53:00.000Z,0.19288758669980305,289312189.6435968,-27.9308,-0.00926812,-0.30843108,-14.11963056,-30.31671554,-40.77563414,-46.86446431,4787827206.201568,0.2885,9644727846.6,2022-01-28 01:53:00
30,1966,Decentraland,MANA,230,2017-09-17 00:00:00,1824503234.8740842,2193868227.320146,31,2022-01-28T01:53:00.000Z,2.2036257581453316,830999609.0496985,12.519,-2.11965664,4.55077857,-13.31112017,-35.42927988,-56.44740555,65.77928591,4020522324.188014,0.2423,4834464535.7,2022-01-28 01:53:00
