,id,name,year_established,country,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
133,otcbtc,OTCBTC,,Taiwan,,6.0,134.0,0.031574333052748,0.031574333052748
134,aex,AEX,2013.0,Seychelles,0.0,5.0,135.0,12862.298199673405,12862.298199673405
135,spookyswap,SpookySwap,,DEX,0.0,5.0,136.0,6307.178538631518,6307.178538631518
136,biconomy,Biconomy,2019.0,Canada,0.0,5.0,137.0,11434.702324180464,4653.062630088453
137,bithumb_global,BitGlobal,2019.0,Seychelles,0.0,5.0,138.0,6048.975308867406,4505.2474342533615
138,dcoin,Dcoin,2018.0,Switzerland,0.0,5.0,139.0,12933.743323986993,4181.179407690631
139,zbg,ZBG,2018.0,China,0.0,5.0,140.0,173288.0125391205,2860.402530947188
140,sushiswap_arbitrum,Sushiswap (Arbitrum One),,DEX,0.0,5.0,141.0,1941.1541720880668,1941.1541720880668
141,uniswap_polygon,Uniswap (Polygon),2021.0,DEX,0.0,5.0,142.0,1455.0142451465672,1455.0142451465672
142,coineal,Coineal,2018.0,Seychelles,0.0,5.0,143.0,1279.1433442125358,1279.1433442125358
143,quickswap,Quickswap,2020.0,DEX,0.0,5.0,144.0,1066.3954826721802,1066.3954826721802
144,bw,BW.com,2017.0,DEX,0.0,5.0,145.0,851.4150885980771,851.4150885980771
145,toko_crypto,TokoCrypto,2017.0,Indonesia,0.0,5.0,146.0,725.7642255661849,725.7642255661849
146,netswap,Netswap,,DEX,0.0,5.0,147.0,628.9216466875113,628.9216466875113
147,beethovenx,Beethoven X,2021.0,DEX,0.0,5.0,148.0,550.315321582242,550.315321582242
148,mm_finance,MM Finance,,DEX,0.0,5.0,149.0,484.881033625675,484.881033625675
149,dmm_polygon,KyberSwap (Polygon),2018.0,DEX,0.0,5.0,150.0,481.49795840101115,481.49795840101115
150,trisolaris,Trisolaris,2021.0,DEX,0.0,5.0,151.0,373.2223224312689,373.2223224312689
151,bitbay,Zonda,2014.0,Estonia,0.0,5.0,152.0,358.60035550146534,358.60035550146534
152,solarbeam,Solarbeam,2021.0,Estonia,0.0,5.0,153.0,316.78595105863735,316.78595105863735
153,bitexlive,Bitexlive,,Germany,0.0,5.0,154.0,278.91997304008066,278.91997304008066
154,omgfin,Omgfin,2018.0,Estonia,0.0,5.0,155.0,1304.2716071174686,262.89685874067754
155,thorswap,THORChain,2021.0,DEX,0.0,5.0,156.0,259.6496215141365,259.6496215141365
156,shibaswap,Shibaswap,2021.0,DEX,0.0,5.0,157.0,203.21283304842152,203.21283304842152
157,sushiswap_harmony,Sushiswap (Harmony),,DEX,0.0,5.0,158.0,182.0280713932962,182.0280713932962
