,Symbol,Date,Neutral,Positive,Negative,sentiment_score
136,BTC,2021-11-07,10,20,4,0.706
137,BTC,2021-11-06,9,19,3,0.774
138,BTC,2021-11-05,23,50,7,0.806
139,BTC,2021-11-04,46,39,12,0.418
140,BTC,2021-11-03,57,42,7,0.495
141,BTC,2021-11-02,25,62,5,0.929
142,BTC,2021-11-01,19,62,7,0.938
143,BTC,2021-10-31,21,19,6,0.424
144,BTC,2021-10-30,10,18,5,0.591
145,BTC,2021-10-29,16,44,7,0.828
146,BTC,2021-10-28,21,56,18,0.6
147,BTC,2021-10-27,42,34,40,-0.078
148,BTC,2021-10-26,31,72,7,0.886
149,BTC,2021-10-25,53,62,7,0.676
150,BTC,2022-02-01,26,49,29,0.288
151,BTC,2022-01-31,26,36,29,0.115
152,BTC,2022-01-30,23,20,15,0.129
153,BTC,2022-01-29,25,11,10,0.033
154,BTC,2022-01-28,42,25,31,-0.092
155,BTC,2022-01-27,22,31,49,-0.265
156,BTC,2022-01-26,45,43,42,0.012
157,BTC,2022-01-25,32,44,47,-0.037
158,BTC,2022-01-24,47,24,58,-0.395
159,BTC,2022-01-23,14,14,25,-0.311
160,BTC,2022-01-22,9,10,42,-0.787
161,BTC,2022-01-21,34,26,76,-0.551
162,BTC,2022-01-20,35,41,34,0.095
163,BTC,2022-01-19,25,40,26,0.231
164,BTC,2022-01-18,19,38,27,0.196
165,BTC,2022-01-17,24,32,36,-0.065
166,BTC,2022-01-16,12,18,2,0.75
167,BTC,2022-01-15,12,22,8,0.5
168,BTC,2022-01-14,22,46,26,0.319
169,BTC,2022-01-13,29,50,14,0.581
170,BTC,2022-01-12,27,81,25,0.632
171,BTC,2022-01-11,32,60,32,0.339
172,BTC,2022-01-10,27,51,62,-0.118
173,BTC,2022-01-09,22,6,15,-0.314
174,BTC,2022-01-08,13,15,18,-0.098
175,BTC,2022-01-07,25,19,52,-0.516
176,BTC,2022-01-06,29,30,75,-0.504
177,BTC,2022-01-05,28,55,42,0.156
178,BTC,2022-01-04,29,41,21,0.33
179,BTC,2022-01-03,45,51,11,0.561
180,BTC,2022-01-02,12,20,9,0.402
181,BTC,2022-01-01,12,10,8,0.1
182,BTC,2021-12-31,22,27,16,0.254
183,BTC,2021-12-30,31,45,12,0.563
184,BTC,2021-12-29,47,24,25,-0.016
185,BTC,2021-12-28,29,9,39,-0.584
186,BTC,2021-12-27,27,42,11,0.581
187,BTC,2021-12-26,15,12,5,0.328
188,BTC,2021-12-25,13,11,6,0.25
189,BTC,2021-12-24,30,39,6,0.66
190,BTC,2021-12-23,34,39,11,0.5
191,BTC,2021-12-22,40,37,10,0.466
192,BTC,2021-12-21,44,54,6,0.692
193,BTC,2021-12-20,39,19,31,-0.202
194,BTC,2021-12-19,17,16,5,0.434
195,BTC,2021-12-18,16,17,10,0.244
196,BTC,2021-12-17,27,29,26,0.055
197,BTC,2021-12-16,35,33,15,0.325
198,BTC,2021-12-15,39,48,19,0.41
199,BTC,2021-12-14,40,27,23,0.067
200,BTC,2021-12-13,32,21,34,-0.224
201,BTC,2021-12-12,19,17,6,0.393
202,BTC,2021-12-11,22,19,12,0.198
203,BTC,2021-12-10,34,27,29,-0.033
204,BTC,2021-12-09,38,33,35,-0.028
205,BTC,2021-12-08,36,31,15,0.293
206,BTC,2021-12-07,41,61,15,0.59
207,BTC,2021-12-06,37,26,46,-0.275
208,BTC,2021-12-05,19,8,16,-0.279
209,BTC,2021-12-04,20,10,43,-0.678
210,BTC,2021-12-03,33,12,28,-0.329
211,BTC,2021-12-02,36,23,35,-0.191
212,BTC,2021-12-01,42,43,21,0.311
213,BTC,2021-11-30,43,32,10,0.388
214,BTC,2021-11-29,31,76,10,0.846
215,BTC,2021-11-28,10,14,11,0.129
216,BTC,2021-11-27,14,13,8,0.214
217,BTC,2021-11-26,22,18,46,-0.488
218,BTC,2021-11-25,27,20,15,0.121
219,BTC,2021-11-24,24,40,14,0.5
220,BTC,2021-11-23,32,39,29,0.15
221,BTC,2021-11-22,29,37,36,0.015
222,BTC,2021-11-21,9,33,7,0.796
223,BTC,2021-11-20,24,24,7,0.464
224,BTC,2021-11-19,27,26,40,-0.226
225,BTC,2021-11-18,38,31,28,0.046
226,BTC,2021-11-17,35,44,33,0.147
227,BTC,2021-11-16,29,50,56,-0.067
228,BTC,2021-11-15,37,61,9,0.729
229,BTC,2021-11-14,11,34,5,0.87
230,BTC,2021-11-13,14,22,17,0.142
231,BTC,2021-11-12,24,50,27,0.342
232,BTC,2021-11-11,34,47,13,0.543
233,BTC,2021-11-10,29,60,17,0.608
234,BTC,2021-11-09,23,66,7,0.922
235,BTC,2021-11-08,26,85,8,0.971
236,BTC,2021-11-07,10,20,4,0.706
237,BTC,2021-11-06,9,19,3,0.774
238,BTC,2021-11-05,23,50,7,0.806
239,BTC,2021-11-04,46,39,12,0.418
240,BTC,2021-11-03,57,42,7,0.495
241,BTC,2021-11-02,25,62,5,0.929
242,BTC,2021-11-01,19,62,7,0.938
243,BTC,2021-10-31,21,19,6,0.424
244,BTC,2021-10-30,10,18,5,0.591
245,BTC,2021-10-29,16,44,7,0.828
246,BTC,2021-10-28,21,56,18,0.6
247,BTC,2021-10-27,42,34,40,-0.078
248,BTC,2021-10-26,31,72,7,0.886
249,BTC,2021-10-25,53,62,7,0.676
250,BTC,2021-10-24,22,19,6,0.415
251,BTC,2021-10-23,20,20,10,0.3
252,BTC,2021-10-22,30,59,19,0.556
253,BTC,2021-10-21,51,93,26,0.591
254,BTC,2021-10-20,31,145,7,1.131
255,BTC,2021-10-19,35,111,16,0.88
256,BTC,2021-10-18,56,92,14,0.722
257,BTC,2021-10-17,16,32,14,0.435
258,BTC,2021-10-16,17,52,7,0.888
259,BTC,2021-10-15,47,96,11,0.828
260,BTC,2021-10-14,24,84,18,0.786
261,BTC,2021-10-13,30,96,23,0.735
262,BTC,2021-10-12,26,68,17,0.689
263,BTC,2021-10-11,36,88,13,0.821
264,BTC,2021-10-10,10,33,9,0.692
265,BTC,2021-10-09,13,31,9,0.623
266,BTC,2021-10-08,15,81,9,1.029
267,BTC,2021-10-07,20,67,6,0.984
268,BTC,2021-10-06,19,85,7,1.054
269,BTC,2021-10-05,23,95,7,1.056
270,BTC,2021-10-04,23,87,12,0.922
271,BTC,2021-10-03,8,25,1,1.059
272,BTC,2021-10-02,13,14,1,0.696
273,BTC,2021-10-01,15,84,5,1.139
274,BTC,2021-09-30,22,62,14,0.735
275,BTC,2021-09-29,24,64,11,0.803
276,BTC,2021-09-28,17,47,27,0.33
277,BTC,2021-09-27,25,45,20,0.417
278,BTC,2021-09-26,11,25,6,0.679
279,BTC,2021-09-25,16,14,8,0.237
280,BTC,2021-09-24,28,29,45,-0.235
281,BTC,2021-09-23,20,67,12,0.833
282,BTC,2021-09-22,23,56,19,0.566
283,BTC,2021-09-21,29,47,30,0.241
284,BTC,2021-09-20,16,44,48,-0.056
285,BTC,2021-09-19,12,16,12,0.15
286,BTC,2021-09-18,11,25,5,0.732
287,BTC,2021-09-17,26,33,15,0.365
288,BTC,2021-09-16,37,47,20,0.389
289,BTC,2021-09-15,24,58,17,0.621
290,BTC,2021-09-14,30,63,12,0.729
291,BTC,2021-09-13,35,57,26,0.394
292,BTC,2021-09-12,13,17,4,0.574
293,BTC,2021-09-11,17,24,10,0.412
294,BTC,2021-09-10,29,34,21,0.232
295,BTC,2021-09-09,39,48,25,0.308
296,BTC,2021-09-08,40,52,54,-0.021
297,BTC,2021-09-07,26,81,53,0.263
298,BTC,2021-09-06,28,66,6,0.9
299,BTC,2021-09-05,13,19,6,0.513
300,BTC,2022-02-01,26,49,29,0.288
301,BTC,2022-01-31,26,36,29,0.115
302,BTC,2022-01-30,23,20,15,0.129
303,BTC,2022-01-29,25,11,10,0.033
304,BTC,2022-01-28,42,25,31,-0.092
305,BTC,2022-01-27,22,31,49,-0.265
306,BTC,2022-01-26,45,43,42,0.012
307,BTC,2022-01-25,32,44,47,-0.037
308,BTC,2022-01-24,47,24,58,-0.395
309,BTC,2022-01-23,14,14,25,-0.311
310,BTC,2022-01-22,9,10,42,-0.787
311,BTC,2022-01-21,34,26,76,-0.551
312,BTC,2022-01-20,35,41,34,0.095
313,BTC,2022-01-19,25,40,26,0.231
314,BTC,2022-01-18,19,38,27,0.196
315,BTC,2022-01-17,24,32,36,-0.065
316,BTC,2022-01-16,12,18,2,0.75
317,BTC,2022-01-15,12,22,8,0.5
318,BTC,2022-01-14,22,46,26,0.319
319,BTC,2022-01-13,29,50,14,0.581
320,BTC,2022-01-12,27,81,25,0.632
321,BTC,2022-01-11,32,60,32,0.339
322,BTC,2022-01-10,27,51,62,-0.118
323,BTC,2022-01-09,22,6,15,-0.314
324,BTC,2022-01-08,13,15,18,-0.098
325,BTC,2022-01-07,25,19,52,-0.516
326,BTC,2022-01-06,29,30,75,-0.504
327,BTC,2022-01-05,28,55,42,0.156
328,BTC,2022-01-04,29,41,21,0.33
329,BTC,2022-01-03,45,51,11,0.561
330,BTC,2022-01-02,12,20,9,0.402
331,BTC,2022-01-01,12,10,8,0.1
332,BTC,2021-12-31,22,27,16,0.254
333,BTC,2021-12-30,31,45,12,0.563
334,BTC,2021-12-29,47,24,25,-0.016
335,BTC,2021-12-28,29,9,39,-0.584
336,BTC,2021-12-27,27,42,11,0.581
337,BTC,2021-12-26,15,12,5,0.328
338,BTC,2021-12-25,13,11,6,0.25
339,BTC,2021-12-24,30,39,6,0.66
340,BTC,2021-12-23,34,39,11,0.5
341,BTC,2021-12-22,40,37,10,0.466
342,BTC,2021-12-21,44,54,6,0.692
343,BTC,2021-12-20,39,19,31,-0.202
344,BTC,2021-12-19,17,16,5,0.434
345,BTC,2021-12-18,16,17,10,0.244
346,BTC,2021-12-17,27,29,26,0.055
347,BTC,2021-12-16,35,33,15,0.325
348,BTC,2021-12-15,39,48,19,0.41
