,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
286,1642965780,151.24,151.1,151.19,248.98,37639.39,151.17,multiply,BTC
287,1642965720,151.38,151.17,151.05,688.97,104148.67,151.17,multiply,ETH
288,1642965660,150.97,150.79,150.73,29.52,4455.53,150.93,multiply,BTC
289,1642965600,151.05,150.8,150.95,13.87,2091.84,150.8,direct,
290,1642965540,150.79,150.72,150.83,8.373,1262.3,150.76,multiply,BTC
291,1642965480,150.91,150.47,150.58,26.8,4045.22,150.91,direct,
292,1642965420,150.56,150.42,150.54,71.6,10770.29,150.42,multiply,BTC
293,1642965360,150.68,150.51,150.8,189.58,28539.49,150.54,multiply,BTC
294,1642965300,151.07,150.68,151.26,531.68,80166.99,150.78,multiply,ETH
295,1642965240,151.62,151.44,151.62,18.88,2858.44,151.44,direct,
296,1642965180,151.4,151.36,151.38,28.59,4328.4,151.4,multiply,BTC
297,1642965120,151.38,151.31,151.34,113.06,17115.25,151.38,multiply,BTC
298,1642965060,151.34,151.27,151.35,98.32,14880.16,151.34,multiply,BTC
299,1642965000,151.49,151.24,151.48,149.66,22650.78,151.35,multiply,BTC
300,1642964940,151.65,151.48,151.86,169.1,25614.93,151.48,multiply,BTC
301,1642964880,151.74,151.69,151.82,33.75,5120.25,151.71,multiply,ETH
302,1642964820,152.08,151.98,151.89,25.88,3934.11,152.01,multiply,BTC
303,1642964760,151.89,151.78,152.13,297.55,45193.75,151.89,multiply,BTC
304,1642964700,151.91,151.86,151.93,81.62,12394.77,151.86,multiply,ETH
305,1642964640,152.31,152.13,152.29,12.04,1831.65,152.13,multiply,BTC
306,1642964580,152.69,152.65,152.69,2.978,454.16,152.65,direct,
307,1642964520,152.48,152.41,152.38,11.4,1737.48,152.41,multiply,BTC
308,1642964460,152.45,152.2,152.21,65.13,9924.29,152.38,multiply,BTC
309,1642964400,152.28,152.07,151.82,32.84,4998.66,152.21,multiply,BTC
310,1642964340,151.92,151.82,151.93,104.02,15792.3,151.82,multiply,BTC
311,1642964280,152.0,151.86,151.68,11.62,1765.46,151.93,multiply,BTC
312,1642964220,152.29,151.8,151.8,24.54,3736.31,152.18,direct,
313,1642964160,151.77,151.67,151.45,32.82,4978.84,151.7,multiply,BTC
314,1642964100,151.59,151.42,151.7,16.91,2561.04,151.45,multiply,BTC
315,1642964040,151.73,151.66,151.76,18.15,2753.28,151.7,multiply,BTC
316,1642963980,152.32,151.86,151.86,51.85,7893.5,152.23,direct,
317,1642963920,151.9,151.83,151.75,45.53,6915.92,151.9,multiply,BTC
318,1642963860,151.66,151.63,151.57,37.99,5761.42,151.66,multiply,ETH
319,1642963800,152.73,151.75,152.73,145.33,22081.5,151.75,direct,
320,1642963740,152.01,151.84,152.07,51.66,7844.09,151.84,multiply,ETH
321,1642963680,152.33,152.26,152.5,28.19,4293.14,152.29,multiply,BTC
322,1642963620,152.5,152.46,152.47,3.846,586.51,152.5,multiply,BTC
323,1642963560,152.41,152.34,152.67,58.37,8896.13,152.41,multiply,ETH
324,1642963500,152.86,152.79,152.89,4.484,685.45,152.86,multiply,BTC
325,1642963440,152.89,152.82,152.92,15.63,2389.61,152.89,multiply,BTC
326,1642963380,152.83,152.63,152.61,119.13,18206.42,152.83,multiply,ETH
327,1642963320,152.83,152.73,152.64,45.93,7017.99,152.8,multiply,BTC
328,1642963260,152.56,152.51,152.7,25.07,3823.34,152.51,multiply,ETH
329,1642963200,152.75,152.66,152.88,19.35,2954.83,152.7,multiply,ETH
330,1642963140,152.91,152.81,152.91,14.75,2255.02,152.88,multiply,ETH
331,1642963080,152.91,152.86,152.86,16.93,2588.75,152.91,multiply,ETH
332,1642963020,153.15,153.11,153.08,15.32,2345.65,153.11,multiply,BTC
333,1642962960,152.94,152.94,152.98,24.07,3681.22,152.94,multiply,ETH
334,1642962900,152.98,152.68,152.69,208.12,31837.44,152.98,multiply,ETH
335,1642962840,153.01,152.9,152.83,132.51,20274.69,153.01,multiply,BTC
336,1642962780,152.52,152.49,152.24,23.71,3615.65,152.49,multiply,ETH
337,1642962720,152.24,152.14,151.98,37.49,5707.31,152.24,multiply,ETH
338,1642962660,152.1,151.98,152.08,124.29,18889.8,151.98,multiply,ETH
339,1642962600,152.16,152.08,152.53,21.92,3333.67,152.08,multiply,ETH
340,1642962540,152.6,152.46,152.11,239.04,36476.84,152.6,multiply,BTC
341,1642962480,152.03,151.93,151.97,85.29,12964.54,152.01,multiply,ETH
342,1642962420,152.09,151.89,152.07,631.03,95895.46,151.97,multiply,ETH
343,1642962360,152.19,152.02,152.28,352.68,53630.49,152.07,multiply,ETH
344,1642962300,152.3,151.99,152.23,709.23,107998.66,152.28,multiply,ETH
345,1642962240,152.33,152.21,152.24,444.43,67655.84,152.23,multiply,ETH
346,1642962180,152.6,152.09,152.07,1994.38,303624.39,152.24,multiply,ETH
347,1642962120,152.07,151.85,152.05,67.2,10218.79,152.07,multiply,ETH
348,1642962060,152.23,152.05,152.06,38.01,5786.09,152.23,multiply,BTC
349,1642962000,152.07,151.95,151.8,147.86,22482.13,152.05,multiply,ETH
350,1642961940,151.85,151.78,151.8,100.33,15230.57,151.8,multiply,ETH
351,1642961880,151.8,151.75,151.98,116.6,17700.06,151.8,multiply,ETH
352,1642961820,152.0,151.88,152.13,268.4,40790.58,151.98,multiply,ETH
353,1642961760,152.33,152.12,152.08,291.26,44357.91,152.3,multiply,BTC
354,1642961700,151.96,151.91,151.79,195.35,29680.19,151.93,multiply,ETH
355,1642961640,151.84,151.77,151.89,41.11,6240.29,151.79,multiply,ETH
