time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644129540,1.123,1.122,1.123,14043.83,15763.75,1.122,direct,
1644129480,1.123,1.122,1.122,2858.07,3207.97,1.123,direct,
1644129420,1.124,1.122,1.123,36659.02,41152.94,1.122,direct,
1644129360,1.123,1.123,1.123,420.11,471.92,1.123,direct,
1644129300,1.123,1.122,1.122,20904.27,23469.96,1.123,direct,
1644129240,1.122,1.122,1.122,7055.57,7914.87,1.122,direct,
1644129180,1.122,1.122,1.122,1896.71,2128.22,1.122,direct,
1644129120,1.123,1.122,1.122,6119.17,6868.1,1.122,direct,
1644129060,1.122,1.121,1.121,12132.09,13611.85,1.122,direct,
1644129000,1.122,1.121,1.122,16896.71,18954.04,1.121,direct,
1644128940,1.123,1.122,1.123,21995.29,24674.77,1.122,direct,
1644128880,1.123,1.123,1.123,6516.14,7316.71,1.123,direct,
1644128820,1.124,1.123,1.123,27027.67,30371.95,1.123,direct,
1644128760,1.123,1.119,1.119,75487.41,84706.19,1.123,direct,
1644128700,1.12,1.118,1.118,48463.88,54252.1,1.119,direct,
1644128640,1.121,1.118,1.121,102264.35,114485.28,1.118,direct,
1644128580,1.121,1.12,1.12,56670.9,63511.97,1.121,direct,
1644128520,1.121,1.12,1.12,41532.69,46528.69,1.12,direct,
1644128460,1.12,1.12,1.12,29138.83,32650.35,1.12,direct,
1644128400,1.121,1.12,1.12,10236.47,11467.38,1.12,direct,
1644128340,1.121,1.12,1.121,12033.26,13482.3,1.12,direct,
1644128280,1.122,1.121,1.122,47745.35,53535.82,1.121,direct,
1644128220,1.122,1.12,1.12,73519.62,82421.77,1.122,direct,
1644128160,1.121,1.12,1.121,20720.35,23218.78,1.12,direct,
1644128100,1.122,1.121,1.122,36563.09,40992.2,1.121,direct,
1644128040,1.123,1.122,1.123,6345.47,7119.3,1.122,direct,
1644127980,1.123,1.122,1.123,21725.62,24400.04,1.123,direct,
1644127920,1.123,1.123,1.123,10868.96,12206.14,1.123,direct,
1644127860,1.124,1.123,1.124,6605.12,7418.06,1.123,direct,
1644127800,1.124,1.123,1.124,7611.8,8552.32,1.124,direct,
1644127740,1.124,1.124,1.124,6821.28,7667.33,1.124,direct,
1644127680,1.124,1.124,1.124,5520.48,6205.82,1.124,direct,
1644127620,1.124,1.123,1.123,6519.55,7325.43,1.124,direct,
1644127560,1.123,1.122,1.123,16273.28,18267.55,1.123,direct,
1644127500,1.125,1.123,1.125,52314.83,58824.89,1.123,direct,
1644127440,1.125,1.124,1.125,17028.69,19152.55,1.125,direct,
1644127380,1.125,1.124,1.124,3132.24,3523.2,1.125,direct,
1644127320,1.125,1.124,1.124,16863.65,18961.46,1.124,direct,
1644127260,1.125,1.124,1.124,2863.71,3220.66,1.124,direct,
1644127200,1.125,1.124,1.125,30805.85,34641.54,1.124,direct,
1644127140,1.125,1.125,1.125,4604.02,5179.47,1.125,direct,
1644127080,1.125,1.124,1.125,20483.94,23036.28,1.125,direct,
1644127020,1.125,1.124,1.124,20216.96,22730.83,1.125,direct,
1644126960,1.125,1.124,1.124,1217.09,1368.4,1.124,direct,
1644126900,1.124,1.123,1.124,17988.13,20206.36,1.124,direct,
1644126840,1.125,1.124,1.124,42724.9,48048.72,1.124,direct,
1644126780,1.124,1.122,1.122,59308.06,66542.27,1.124,direct,
1644126720,1.123,1.122,1.123,50363.93,56517.54,1.122,direct,
1644126660,1.124,1.123,1.123,44460.61,49938.93,1.123,direct,
1644126600,1.124,1.123,1.124,18736.66,21051.58,1.123,direct,
1644126540,1.124,1.124,1.124,3708.86,4169.08,1.124,direct,
1644126480,1.124,1.124,1.124,8057.64,9054.86,1.124,direct,
1644126420,1.124,1.124,1.124,6598.92,7415.97,1.124,direct,
