time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644129540,414.62,414.5,414.81,142.54,59088.55,414.54,multiply,BTC
1644129480,414.78,414.72,414.77,27.16,11259.92,414.72,direct,
1644129420,415.01,414.72,414.72,144.76,60073.7,414.77,direct,
1644129360,415.12,415.03,415.1,113.84,47252.29,415.08,multiply,BTC
1644129300,415.1,414.98,414.92,46.71,19389.35,415.1,multiply,BTC
1644129240,415.0,414.71,414.96,29.97,12435.2,414.92,multiply,BTC
1644129180,415.13,414.84,414.91,376.89,156395.8,414.96,multiply,BTC
1644129120,414.95,414.83,414.8,31.5,13069.63,414.91,multiply,BTC
1644129060,414.84,414.75,414.58,24.18,10029.75,414.8,multiply,BTC
1644129000,414.8,414.23,414.8,71.89,29783.13,414.23,direct,
1644128940,415.02,414.86,415.02,81.77,33926.37,414.9,multiply,BTC
1644128880,415.11,414.98,415.06,74.34,30852.85,415.02,multiply,BTC
1644128820,415.29,414.65,414.65,280.57,116458.76,414.98,direct,
1644128760,414.94,413.98,414.04,251.6,104298.78,414.65,direct,
1644128700,414.04,413.7,413.7,31.54,13054.44,414.04,direct,
1644128640,413.99,413.7,413.93,71.3,29514.22,413.94,multiply,BTC
1644128580,414.01,413.93,413.91,63.54,26301.02,413.93,multiply,BTC
1644128520,413.91,413.82,413.98,62.83,26005.79,413.91,multiply,BTC
1644128460,413.98,413.81,413.8,96.95,40134.93,413.98,multiply,BTC
1644128400,413.97,413.8,413.99,237.21,98158.65,413.8,multiply,BTC
1644128340,414.16,413.95,414.27,303.04,125456.29,413.99,multiply,BTC
1644128280,414.44,414.19,414.27,202.18,83757.87,414.27,multiply,BTC
1644128220,413.94,413.54,413.6,161.17,66696.27,413.93,direct,
1644128160,414.1,413.6,414.1,113.54,46986.28,413.6,direct,
1644128100,414.53,414.0,414.51,52.08,21566.18,414.1,direct,
1644128040,414.83,414.62,414.76,65.87,27316.36,414.7,multiply,BTC
1644127980,414.88,414.76,414.91,72.63,30123.84,414.76,multiply,BTC
1644127920,415.04,414.91,415.02,67.33,27936.09,414.91,multiply,BTC
1644127860,415.02,414.94,415.14,94.51,39223.73,415.02,multiply,BTC
1644127800,415.27,415.14,415.46,89.5,37155.16,415.14,multiply,BTC
1644127740,415.63,415.46,415.6,39.84,16552.09,415.46,multiply,BTC
1644127680,415.6,415.52,415.49,42.42,17629.86,415.6,multiply,BTC
