Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,226.479996,227.449997,226.009995,226.460007,207.264145,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,207.849869,74650000
2017-01-12,226.500000,226.750000,224.960007,226.529999,207.328186,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,207.804123,62717900
2017-01-17,226.309998,226.779999,225.800003,226.250000,207.071915,61240800
2017-01-18,226.539993,226.800003,225.899994,226.750000,207.529526,54793300
2017-01-19,226.839996,227.000000,225.410004,225.910004,206.760742,66608800
2017-01-20,226.699997,227.309998,225.970001,226.740005,207.520386,129168600
2017-01-23,226.740005,226.809998,225.270004,226.149994,206.980377,75061600
2017-01-24,226.399994,228.080002,226.270004,227.600006,208.307495,95555300
2017-01-25,228.699997,229.570007,228.509995,229.570007,210.110489,84437700
2017-01-26,229.399994,229.710007,229.009995,229.330002,209.890839,59970700
2017-01-27,229.419998,229.589996,228.759995,228.970001,209.561356,59711100
2017-01-30,228.169998,228.199997,226.410004,227.550003,208.261734,79737300
2017-01-31,226.979996,227.600006,226.320007,227.529999,208.243439,75880800
2017-02-01,227.529999,228.589996,226.940002,227.619995,208.325775,79117700
2017-02-02,227.619995,228.100006,226.820007,227.770004,208.463089,69657600
2017-02-03,228.820007,229.550003,228.460007,229.339996,209.900009,80563200
2017-02-06,228.869995,229.330002,228.539993,228.929993,209.524734,57790100
2017-02-07,229.380005,229.660004,228.720001,228.940002,209.533936,57931200
2017-02-08,228.940002,229.389999,228.309998,229.240005,209.808502,51566200
2017-02-09,229.240005,230.949997,229.240005,230.600006,211.053207,65955200
2017-02-10,231.000000,231.770004,230.619995,231.509995,211.886063,66015900
2017-02-13,232.080002,233.070007,232.050003,232.770004,213.039246,55182100
2017-02-14,232.559998,233.710007,232.160004,233.699997,213.890411,71109000
2017-02-15,233.449997,235.139999,233.389999,234.919998,215.006958,86785800
2017-02-16,234.949997,235.160004,233.850006,234.720001,214.823959,84722400
2017-02-17,233.949997,235.089996,233.929993,235.089996,215.162598,77204100
2017-02-21,235.520004,236.690002,235.509995,236.490005,216.443924,88946100
2017-02-22,236.020004,236.539993,235.830002,236.279999,216.251740,62115200
2017-02-23,236.880005,236.899994,235.559998,236.440002,216.398178,74615900
2017-02-24,235.460007,236.789993,235.410004,236.740005,216.672729,82381600
2017-02-27,236.639999,237.309998,236.350006,237.110001,217.011368,56515400
2017-02-28,236.669998,236.949997,236.020004,236.470001,216.425644,96961900
2017-03-01,238.389999,240.320007,238.369995,239.779999,219.455017,149158200
2017-03-02,239.559998,239.570007,238.210007,238.270004,218.073044,70246000
2017-03-03,238.169998,238.610001,237.729996,238.419998,218.210297,81974300
2017-03-06,237.500000,238.119995,237.009995,237.710007,217.560516,55391500
2017-03-07,237.360001,237.770004,236.759995,237.000000,216.910690,65103700
2017-03-08,237.339996,237.639999,236.399994,236.559998,216.507980,78168800
2017-03-09,236.699997,237.240005,235.740005,236.860001,216.782562,90683900
2017-03-10,237.970001,238.020004,236.589996,237.690002,217.542191,81991700
2017-03-13,237.619995,237.860001,237.240005,237.809998,217.652069,57256800
2017-03-14,237.179993,237.240005,236.190002,236.899994,216.819138,59880800
2017-03-15,237.559998,239.440002,237.289993,238.949997,218.695419,96081800
2017-03-16,239.110001,239.199997,238.100006,238.479996,218.265228,78344000
2017-03-17,237.750000,237.970001,237.029999,237.029999,217.881912,89002100
2017-03-20,237.029999,237.360001,236.320007,236.770004,217.642944,52537000
2017-03-21,237.470001,237.610001,233.580002,233.729996,214.848511,131809300
2017-03-22,233.770004,234.610001,233.050003,234.279999,215.354065,97569200
2017-03-23,234.279999,235.339996,233.600006,234.029999,215.124268,100410300
2017-03-24,234.380005,235.039993,232.960007,233.860001,214.967987,112504900
2017-03-27,231.929993,233.919998,231.610001,233.619995,214.747391,87454500
2017-03-28,233.270004,235.809998,233.139999,235.320007,216.310059,93483900
2017-03-29,234.990005,235.809998,234.729996,235.539993,216.512283,61950400
2017-03-30,235.470001,236.520004,235.270004,236.289993,217.201721,56737900
2017-03-31,235.899994,236.509995,235.679993,235.740005,216.696136,73733100
2017-04-03,235.800003,236.029999,233.910004,235.330002,216.319305,85546500
2017-04-04,235.000000,235.580002,234.559998,235.479996,216.457138,56466200
2017-04-05,236.259995,237.389999,234.539993,234.779999,215.813705,108800600
2017-04-06,234.940002,236.039993,234.429993,235.440002,216.420364,69135800
2017-04-07,235.149994,236.000000,234.639999,235.199997,216.199783,74412300
2017-04-10,235.360001,236.259995,234.729996,235.339996,216.328430,67615300
2017-04-11,234.899994,235.179993,233.339996,235.059998,216.071075,88045300
2017-04-12,234.740005,234.960007,233.770004,234.029999,215.124268,81864400
2017-04-13,233.639999,234.490005,232.509995,232.509995,213.727081,92880400
2017-04-17,233.110001,234.570007,232.880005,234.570007,215.620636,68405400
2017-04-18,233.720001,234.490005,233.080002,233.869995,214.977158,83225800
2017-04-19,234.520004,234.949997,233.179993,233.440002,214.581955,68699900
2017-04-20,234.149994,235.850006,233.779999,235.339996,216.328430,92572200
2017-04-21,235.250000,235.309998,234.130005,234.589996,215.639053,110389800
2017-04-24,237.179993,237.410004,234.559998,237.169998,218.010605,119209900
2017-04-25,237.910004,238.949997,237.809998,238.550003,219.279129,76698300
2017-04-26,238.509995,239.529999,238.350006,238.399994,219.141235,84702500
2017-04-27,238.770004,238.949997,237.979996,238.600006,219.325089,57410300
2017-04-28,238.899994,238.929993,237.929993,238.080002,218.847092,63532800
2017-05-01,238.679993,239.169998,238.199997,238.679993,219.398621,66882500
2017-05-02,238.839996,238.979996,238.300003,238.770004,219.481369,57375700
2017-05-03,238.770004,238.880005,237.699997,238.479996,219.214783,73137700
2017-05-04,238.830002,238.919998,237.779999,238.759995,219.472168,61462700
2017-05-05,239.190002,239.720001,238.679993,239.699997,220.336227,62001300
2017-05-08,239.750000,239.919998,239.169998,239.660004,220.299454,48385700
2017-05-09,239.960007,240.190002,239.039993,239.440002,220.097275,51363200
2017-05-10,239.389999,239.869995,239.149994,239.869995,220.492493,54293800
2017-05-11,239.350006,239.570007,238.130005,239.380005,220.042084,62358300
2017-05-12,239.089996,239.429993,238.669998,238.979996,219.674423,53912700
2017-05-15,239.470001,240.440002,239.449997,240.300003,220.887772,61918900
2017-05-16,240.639999,240.669998,239.630005,240.080002,220.685547,51241800
2017-05-17,240.080002,240.080002,235.750000,235.820007,216.769684,172174100
2017-05-18,235.729996,237.750000,235.429993,236.770004,217.642944,107047700
2017-05-19,237.330002,239.080002,237.270004,238.309998,219.058563,115011400
2017-05-22,238.899994,239.710007,238.820007,239.520004,220.170761,61010600
2017-05-23,239.949997,240.240005,239.509995,240.050003,220.657944,48341700
2017-05-24,240.320007,240.729996,239.929993,240.610001,221.172729,46927700
2017-05-25,241.199997,242.080002,240.960007,241.759995,222.229782,64071700
2017-05-26,241.539993,241.899994,241.449997,241.710007,222.183868,46629900
2017-05-30,241.339996,241.789993,241.160004,241.500000,221.990829,35201900
2017-05-31,241.839996,241.880005,240.639999,241.440002,221.935669,91796000
2017-06-01,241.970001,243.380005,241.639999,243.360001,223.700562,68962000
2017-06-02,243.419998,244.350006,243.080002,244.169998,224.445145,88666100
2017-06-05,243.970001,244.300003,243.759995,243.990005,224.279663,44698800
2017-06-06,243.339996,243.979996,243.119995,243.210007,223.562653,50375400
2017-06-07,243.600006,243.919998,242.830002,243.660004,223.976364,54144300
2017-06-08,243.770004,244.330002,243.169998,243.779999,224.086624,65950700
2017-06-09,244.089996,245.009995,241.949997,243.410004,223.746536,132256400
2017-06-12,243.130005,243.419998,242.380005,243.360001,223.700562,86108100
2017-06-13,243.979996,244.610001,243.580002,244.550003,224.794464,60067000
2017-06-14,244.860001,244.869995,243.289993,244.240005,224.509430,78602300
2017-06-15,242.679993,243.910004,242.360001,243.770004,224.077484,66464900
2017-06-16,242.770004,242.830002,241.630005,242.639999,224.126389,84553100
2017-06-19,243.589996,244.729996,243.479996,244.660004,225.992310,65123800
2017-06-20,244.250000,244.259995,242.990005,243.009995,224.468155,56906400
2017-06-21,243.460007,243.589996,242.410004,242.949997,224.412735,55977600
2017-06-22,242.960007,243.529999,242.639999,242.839996,224.311127,44148100
2017-06-23,242.910004,243.509995,242.470001,243.130005,224.579010,66986800
2017-06-26,243.899994,244.380005,243.050003,243.289993,224.726807,56700500
2017-06-27,243.039993,243.380005,241.309998,241.330002,222.916367,82247700
2017-06-28,242.500000,243.720001,242.229996,243.490005,224.911514,70042600
2017-06-29,243.660004,243.720001,239.960007,241.350006,222.934845,106949700
2017-06-30,242.279999,242.710007,241.580002,241.800003,223.350510,86820700
2017-07-03,242.880005,243.380005,242.210007,242.210007,223.729218,39153800
2017-07-05,242.630005,243.009995,241.699997,242.770004,224.246475,54427600
2017-07-06,241.889999,242.029999,240.339996,240.550003,222.195892,65400800
2017-07-07,241.210007,242.279999,240.559998,242.110001,223.636810,57972300
2017-07-10,242.110001,242.800003,241.759995,242.369995,223.877014,36663300
